"stn_num","stn_name","et_year","et_month","weighted_avg_eto","et_amount","accuracy_ratio"
5,"Shafter/USDA",2015,4,6.11971218232212,5.86999998986721,1.04254040764667
5,"Shafter/USDA",2015,5,7.10964510902316,7.00999999046326,1.0142147102276
5,"Shafter/USDA",2015,6,8.37083810875821,7.81000004336238,1.07181025125249
5,"Shafter/USDA",2015,7,8.50576184640392,7.79999996721745,1.09048229258368
5,"Shafter/USDA",2015,8,7.78591059836673,7.18999996781349,1.08288047749943
5,"Shafter/USDA",2015,9,6.06472788228986,5.66000002622604,1.07150668801917
5,"Shafter/USDA",2015,10,3.95970087152452,3.74000004306436,1.05874353634503
5,"Shafter/USDA",2015,11,2.18112236667408,2.09000000357628,1.0435992167186
5,"Shafter/USDA",2015,12,1.51770663391519,1.46999999508262,1.03245349591304
5,"Shafter/USDA",2016,1,1.30279870684649,1.21999999508262,1.06786779680132
5,"Shafter/USDA",2016,2,2.67683991655973,2.67000000551343,1.00256176443153
5,"Shafter/USDA",2016,3,4.16165555226535,4.06000001356006,1.02503830994231
5,"Shafter/USDA",2016,4,5.69420278567729,5.47000002115965,1.04098770816277
5,"Shafter/USDA",2016,5,7.35201382501405,7.26999998092651,1.01128113401688
5,"Shafter/USDA",2016,6,8.77359079007415,8.09000006318092,1.08449823505001
5,"Shafter/USDA",2016,7,9.05302724670173,8.40999995172024,1.07645984526432
5,"Shafter/USDA",2016,8,8.19617154469225,7.48999996483326,1.09428192031703
5,"Shafter/USDA",2016,9,6.22934464523698,5.99999998509884,1.03822411011795
5,"Shafter/USDA",2016,10,3.86002160373402,3.70000001229346,1.04324907862402
5,"Shafter/USDA",2016,11,2.18097077290181,2.14000002667308,1.01914520827947
6,"Davis",2013,1,1.7064909938465,1.69999998994172,1.00381823761364
6,"Davis",2013,2,2.83709276712441,2.9199999962002,0.971607113293261
6,"Davis",2013,3,4.14536157025772,4.38000001385808,0.946429579256169
6,"Davis",2013,4,6.69907386599,7.37999999895692,0.907733586305805
6,"Davis",2013,5,7.7246598479838,8.04999999701977,0.959585074638954
6,"Davis",2013,6,7.84905135914651,7.86000001430511,0.998607041330957
6,"Davis",2013,7,8.17331475681244,8.44999998807907,0.967256185602726
6,"Davis",2013,8,7.09892071811917,7.18999996781349,0.987332510416962
6,"Davis",2013,9,5.46507561038638,5.69000001065433,0.960470228497928
6,"Davis",2013,10,4.36960918000519,4.79999997839332,0.91033524993219
